country_code,X,fertility_rate_children_per_woman,carbon_dioxide_emissions,cell_subs_per_100,employment_to_pop_ratio,female_employment_to_pop_ratio,lowest_quint_income_share.csv,maternal_mortality,percent_children_malaria_nets,unmet_family_planning_need,urban_pop_in_slums,women_men_literacy_ratio,net_migration_per_1000
ABW,1,1.8,NA,135.0658893,NA,NA,NA,NA,NA,NA,NA,NA,-0.875
AFG,2,5.255,NA,74.88284241,NA,NA,NA,NA,NA,NA,62.7,NA,-5.773
AGO,3,5.95,NA,63.4792082,NA,NA,NA,NA,25.9,NA,55.5,0.83211,0.795
AIA,198,NA,NA,179.8063624,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALB,199,6.23,NA,105.4699657,44.5,43.7,8.85,0,NA,12.9,NA,NA,-14.443
AND,200,NA,NA,82.64319489,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARE,4,1.82,NA,178.0615447,NA,NA,NA,1,NA,NA,NA,NA,103.687
ARG,201,3.154,NA,158.735762,NA,NA,NA,NA,NA,NA,16.7,1.0037,-0.423
ARM,5,1.65,NA,115.9232102,NA,NA,8.77,36,NA,13.5,14.4,NA,-12.519
ATG,6,2.096,NA,120.0180412,NA,NA,NA,0,NA,NA,NA,NA,-0.2
AUS,7,1.885,397830.6047,131.2305468,61.3,55.6,NA,NA,NA,NA,NA,NA,10.602
AUT,8,1.449,67733.46873,151.9112515,58.5,53,NA,NA,NA,NA,NA,NA,3.691
AZE,9,2.1,NA,110.9053634,NA,NA,NA,15.3,1,15.4,NA,0.999626491,1.22
BDI,10,6,NA,30.46201036,NA,NA,NA,499,53.8,32.4,57.9,NA,2.522
BEL,11,1.781,100659.3803,114.2699575,49,43.9,NA,NA,NA,3.4,NA,NA,5.478
BEN,12,5.22,NA,101.7110697,NA,NA,NA,NA,72.7,32.6,61.5,NA,-1.136
BFA,13,5.646,NA,71.73746951,NA,NA,NA,NA,75.3,35.7,65.8,NA,-1.723
BGD,14,2.221,NA,75.92489163,NA,NA,NA,337,NA,13.9,55.1,1.05006,-4.832
BGR,15,1.506,48363.94947,137.7065953,46.9,42.8,NA,NA,NA,29.7,NA,NA,-2.22
BHR,16,2.12,NA,173.2739335,NA,NA,NA,13,NA,NA,NA,NA,51.079
BHS,17,1.81,NA,71.43772006,NA,NA,NA,NA,NA,NA,NA,NA,8.325
BIH,18,1.314,NA,91.27895029,31.7,22.6,NA,NA,NA,9,NA,1.00008,-3.158
BLR,19,1.64,57490.68938,122.5011386,NA,NA,NA,1,NA,7,NA,NA,1.339
BLZ,20,2.64,NA,50.712566,57.8,41.8,NA,42.5,NA,15.9,10.8,NA,5.768
BMU,202,NA,NA,90.88006599,NA,NA,NA,0,NA,NA,NA,NA,NA
BOL,21,3.042,NA,96.33724828,NA,NA,3.32,229,NA,20.1,43.5,0.99663345,-1.764
BRA,22,1.78,NA,138.9514906,61.2,50.4,3.39,NA,NA,6,22.3,1.008078127,0
BRB,23,1.79,NA,106.7781561,58.9,54.8,NA,NA,NA,19.9,NA,NA,1.481
BRN,24,1.9,NA,110.0570645,NA,NA,NA,NA,NA,NA,NA,0.99938,-1.108
BTN,25,2.2,NA,82.07006186,63.1,61.8,6.75,65,NA,11.7,NA,NA,4.863
BWA,26,2.875,NA,167.2975939,NA,NA,NA,190,NA,NA,NA,1.03918,1.936
CAF,27,5.1,NA,31.3598713,NA,NA,NA,NA,36.4,27,93.3,NA,-5.859
CAN,28,1.61,550546.5937,82.98444025,61.8,58,NA,NA,NA,NA,NA,NA,7.403
CHE,29,1.526,43250.85632,140.5386879,65.3,59.1,NA,NA,NA,NA,NA,NA,9.05
CHL,30,1.82,NA,133.2556288,56,44.4,NA,NA,NA,NA,NA,NA,0.717
CHN,31,1.6,NA,92.27349082,68.6,NA,NA,36.6,NA,2.3,25.2,NA,-0.357
